date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2020-01-16,4174.82,4175.29,4149.04,4142.18,100267640.0,-17.69,-0.42,4174.566,4158.401,4097.891,113389052.8,132904267.2,130154731.6
2020-01-15,4186.88,4193.87,4166.73,4150.88,104633136.0,-23.16,-0.55,4177.632,4158.721,4092.078,120712788.8,141089181.6,132708937.6
2020-01-14,4215.16,4223.51,4189.89,4188.08,129320784.0,-14.1,-0.34,4166.75,4151.706,4085.831,133303332.8,142952293.6,137535428.0
2020-01-13,4166.93,4203.99,4203.99,4148.6,119691984.0,40.81,0.98,4160.818,4140.88,4075.714,135336984.0,145617364.0,138493722.4
2020-01-10,4177.58,4180.98,4163.18,4148.48,113031720.0,-1.19,-0.03,4145.88,4122.684,4063.926,146460577.6,148740805.6,139937690.4
2020-01-09,4145.53,4165.66,4164.37,4143.59,136886320.0,52.05,1.27,4142.236,4108.965,4050.318,152419481.6,148323697.6,138521520.8
2020-01-08,4139.63,4149.81,4112.32,4101.98,167585856.0,-47.91,-1.15,4139.81,4091.615,4037.237,161465574.4,144128954.4,136665478.8
2020-01-07,4137.4,4161.25,4160.23,4135.1,139489040.0,30.93,0.75,4136.662,4079.679,4026.64,152601254.4,136969272.8,132599332.4
2020-01-06,4120.52,4170.64,4129.3,4102.38,175309952.0,-15.66,-0.38,4120.942,4060.366,4013.401,155897744.0,135301993.6,130392570.8
2020-01-03,4161.22,4164.3,4144.96,4131.86,142826240.0,-7.28,-0.17,4099.488,4049.161,4002.055,151021033.6,129897764.8,125559517.6
2020-01-02,4121.35,4172.66,4152.24,4121.35,182116784.0,55.66,1.36,4075.694,4037.38,3988.775,144227913.6,127405196.0,122870765.6
2019-12-31,4077.75,4098.14,4096.58,4069.01,123264256.0,14.95,0.37,4043.42,4025.434,3973.654,126792334.4,124328693.6,117749095.6
2019-12-30,4015.52,4083.69,4081.63,4001.5,155971488.0,59.6,1.48,4022.696,4019.956,3961.38,121337291.2,132118562.4,115266444.8
2019-12-27,4029.25,4066.8,4022.03,4019.72,150926400.0,-3.96,-0.1,3999.79,4010.548,3949.101,114706243.2,131370080.8,111338479.2
2019-12-26,3993.67,4025.99,4025.99,3993.54,108860640.0,35.12,0.88,3998.834,4005.167,3939.433,108774496.0,131134575.2,107499376.0
2019-12-25,3988.66,4000.56,3990.87,3976.36,94938888.0,-2.09,-0.05,3999.066,3991.67,3931.249,110582478.4,128719344.0,105317850.0
2019-12-24,3971.56,3994.51,3992.96,3963.67,95989040.0,25.86,0.65,4007.448,3982.858,3925.486,121865052.8,129202003.2,104392770.8
2019-12-23,4014.69,4032.17,3967.1,3964.38,122816248.0,-50.15,-1.25,4017.216,3973.6,3920.421,142899833.6,128229392.0,105168995.6
2019-12-20,4032.15,4046.73,4017.25,4014.93,121267664.0,-9.9,-0.25,4021.306,3966.435,3915.976,148033918.4,125483148.0,104331497.6
2019-12-19,4034.62,4038.54,4027.15,4014.9,117900552.0,-5.63,-0.14,4011.5,3954.949,3907.613,153494654.4,121221270.4,102820246.4
2019-12-18,4039.72,4057.64,4032.78,4025.34,151351760.0,-9.02,-0.22,3984.274,3940.17,3900.736,146856209.6,118336335.2,100381745.6
2019-12-17,3987.74,4067.14,4041.8,3984.52,201162944.0,54.25,1.36,3958.268,3921.874,3894.49,136538953.6,111169497.6,96654924.4
2019-12-16,3970.71,3987.59,3987.55,3953.51,148486672.0,19.33,0.49,3929.984,3902.803,3889.752,113558950.4,98414327.2,90704828.4
2019-12-13,3928.0,3969.46,3968.22,3925.28,148571344.0,77.2,1.98,3911.564,3887.654,3885.771,102932377.6,91306877.6,87112794.4
2019-12-12,3908.45,3908.45,3891.02,3886.12,84708328.0,-11.73,-0.3,3898.398,3873.699,3881.214,88947886.4,83864176.8,83870773.2
2019-12-11,3907.16,3909.39,3902.75,3890.34,99765480.0,2.37,0.06,3896.066,3870.827,3881.956,89816460.8,81916356.0,83985779.2
2019-12-10,3886.44,3900.96,3900.38,3882.09,86262928.0,4.93,0.13,3885.48,3868.114,3881.818,85800041.6,79583538.4,82834959.2
